source,target
526,1656
32,330
163,1604
741,1544
765,1901
535,658
616,1549
504,1079
523,1092
421,1310
304,1728
343,1656
1308,1547
1071,1311
293,751
193,813
274,509
1051,1369
992,1957
709,1080
655,1783
192,332
1709,1719
1593,1773
531,1195
471,915
882,1681
329,1734
263,1151
507,1740
875,1678
787,1794
466,921
170,1862
133,223
584,684
110,1407
165,1868
244,1932
728,1456
3,1991
1245,1719
26,891
94,1291
1054,1104
649,1055
1328,1609
359,1976
1511,1959
36,1471
85,1592
444,1939
879,1638
167,355
455,758
109,121
289,725
344,432
717,1926
1517,1750
285,1249
197,907
909,1867
76,617
270,1651
118,1782
652,935
1032,1156
373,1254
412,1182
455,1818
118,735
1083,1121
647,1988
1244,1749
664,1174
774,1534
892,1526
1067,1527
659,1998
332,1603
175,1656
266,1020
145,730
838,1182
1153,1459
1232,1752
339,451
390,1665
1718,1874
741,1370
474,1255
278,1380
507,1203
1264,1411
578,854
365,975
587,1842
800,903
125,1488
99,977
687,1376
301,1606
479,1383
785,901
143,1168
222,229
867,1199
855,1081
1022,1258
879,1438
1372,1492
164,1348
352,581
644,1921
9,1447
439,506
150,403
203,229
1073,1317
412,1571
171,462
136,1636
234,747
857,1921
791,1567
1052,1379
558,807
928,1572
692,807
60,1762
292,1102
227,478
1455,1732
1040,1261
116,876
539,1504
133,1459
611,1757
356,713
339,1069
991,995
440,1875
1362,1433
1081,1154
630,1218
272,1510
492,1513
1490,1847
1185,1211
165,889
27,659
181,1247
542,997
715,888
510,1459
204,1352
619,1365
803,1940
106,551
584,1344
715,1009
747,998
1915,1972
475,1064
578,1714
326,941
1219,1747
976,1989
50,777
294,1137
812,834
20,1837
101,1496
285,1317
918,1755
1248,1401
733,1184
1096,1761
36,1781
490,1951
886,1133
538,1655
558,1304
582,1432
1280,1474
223,1728
947,1530
465,1261
1672,1934
701,1245
23,98
83,149
1129,1951
494,1440
70,1607
206,219
1470,1692
1236,1525
50,911
850,1489
252,1274
422,1951
97,168
119,1913
1602,1767
865,1474
1555,1655
92,1258
106,927
1632,1646
1931,1942
146,1494
1003,1852
808,1613
443,963
747,1603
506,982
712,858
992,1141
1083,1673
16,1276
742,1151
342,1675
841,1093
697,1085
806,1257
819,1492
991,1976
748,1023
423,1226
906,1609
1145,1625
417,923
924,1922
15,125
295,1162
1188,1968
294,708
1745,1778
375,1047
189,362
1123,1206
995,1694
107,1003
1102,1268
388,464
171,1927
1351,1972
418,1804
666,1640
905,1922
435,1707
94,1414
677,1506
709,1458
1159,1923
697,1340
26,1135
652,1863
1587,1848
1198,1743
802,1743
661,1767
1261,1274
168,1605
99,1771
1513,1754
148,1138
846,1934
909,1990
1112,1824
174,1541
1129,1764
1337,1942
215,1838
287,1189
347,1469
249,668
92,950
168,679
415,556
939,1236
204,1312
460,1238
179,1484
1051,1413
163,722
