source,target
242,1897
612,676
691,1723
250,260
505,1718
579,1667
527,1211
1555,1653
515,1093
57,1972
234,1376
1083,1550
1515,1998
659,1488
801,1837
1110,1131
471,1144
807,864
13,1498
1493,1835
408,980
129,1565
19,1693
51,1645
433,515
205,1267
194,354
1322,1966
570,870
929,1217
717,1563
1319,1668
9,1742
588,1863
967,1859
1094,1671
285,778
823,1851
1415,1497
339,1243
1458,1840
437,768
318,1342
488,1982
673,715
1318,1685
339,1364
1643,1970
575,1348
1872,1978
189,1541
538,1466
374,540
324,948
485,1805
106,496
570,1125
500,1066
741,1357
806,1523
1,335
319,1893
888,1821
437,1131
1003,1771
321,956
513,1880
1227,1408
1430,1996
1165,1698
400,1077
51,1566
49,1493
169,1558
190,220
319,859
731,1069
1481,1530
1365,1584
152,1096
1181,1534
116,392
10,639
233,1327
1064,1255
426,446
135,1923
909,1317
375,858
1375,1790
1188,1900
245,519
328,1456
383,1917
142,1976
8,175
1264,1787
1332,1433
724,1284
801,979
71,1628
434,1451
276,1279
85,479
375,992
384,1980
668,1510
1341,1724
592,1865
815,1119
1224,1849
608,1580
892,1110
312,535
40,76
678,1006
507,895
398,1073
582,1419
865,990
1026,1581
1603,1858
414,1993
253,318
1638,1815
1582,1920
343,477
699,1078
418,1065
905,1412
1287,1477
545,611
221,1948
892,1594
156,1674
440,1204
1212,1949
915,945
39,1274
1067,1716
55,1218
210,863
574,1554
1602,1996
1196,1308
203,860
465,1274
788,961
1262,1783
197,1459
627,1309
897,1133
623,1796
590,1390
1250,1436
726,1436
1210,1485
956,1834
616,1685
3,933
181,939
1397,1432
484,1916
1511,1719
1585,1668
647,1385
936,1259
624,1630
407,1632
155,1862
1812,1832
313,1216
249,1231
818,1617
257,826
802,1380
116,1052
966,1222
995,1923
618,1973
287,1873
1179,1222
217,353
944,1850
975,1163
636,714
78,652
1842,1953
193,1541
741,1117
531,755
321,945
1608,1907
469,1597
592,1933
394,1423
1390,1684
335,1782
101,383
291,1941
373,1485
1388,1988
126,561
482,1657
595,1305
127,1725
188,429
836,1367
24,442
941,1834
820,1773
259,1248
455,894
154,902
1074,1545
791,1193
920,1078
66,1728
415,1616
160,1326
949,1257
862,1783
380,733
688,849
822,1603
901,1896
517,967
1074,1787
594,921
497,1254
1159,1602
78,1270
988,1491
286,1973
894,1075
351,1550
1421,1723
43,939
875,1735
950,1091
592,1383
349,1625
447,736
1348,1366
497,1496
1192,1792
6,1407
118,416
364,1869
372,1501
864,1963
605,1443
108,1162
660,1904
458,1689
1319,1954
519,1110
1687,1892
928,1803
334,1101
44,1756
236,1697
869,1381
15,422
261,1646
682,1410
728,1526
856,1977
1379,1752
497,583
817,1985
619,1475
1288,1570
179,1176
20,1826
923,1859
1225,1406
680,1054
539,1869
566,1706
101,1606
665,1190
418,1993
1753,1912
1357,1683
428,954
911,1862
25,1769
1004,1824
45,435
1452,1691
1388,1935
192,1128
572,595
102,151
1184,1876
962,1009
1707,1917
713,1473
565,1080
1306,1987
93,1499
203,1896
500,1365
1157,1406
113,138
221,903
119,855
155,549
463,665
560,1537
510,1945
598,974
1522,1884
955,1248
244,1910
187,1147
278,740
452,627
44,1098
603,796
921,1371
898,1653
645,1207
484,1784
596,793
262,1442
522,1258
916,1377
1266,1675
74,1512
332,989
431,702
424,1746
606,1494
419,584
549,1862
783,1800
277,1174
189,1290
680,1564
857,931
108,1338
748,1964
1100,1332
203,1346
41,530
342,1690
66,294
26,895
991,1052
41,651
650,1927
453,595
219,1825
663,1344
1328,1963
662,1119
753,1237
240,837
276,531
422,585
990,1860
267,1465
174,254
487,1468
690,1302
590,1889
607,1304
1718,1744
161,1483
954,1348
1795,1964
1043,1871
344,1833
1302,1802
323,727
870,1125
1035,1458
441,719
279,657
143,1025
957,1538
332,1715
363,1065
1705,1926
160,965
729,1122
214,676
785,1697
1582,1977
135,1551
1857,1916
924,1482
352,1256
1702,1749
394,1438
438,1481
54,552
489,1941
1375,1539
573,622
323,1908
288,840
97,1272
1042,1716
1023,1474
1317,1426
829,1608
680,1485
506,1857
894,956
830,1429
1377,1827
857,1791
483,1092
778,1912
756,1372
16,1562
815,1915
