source,target
0,3270
1,3271
2,3272
3,3273
4,3274
5,3275
6,3276
7,3277
8,3278
9,3279
10,3278
11,3280
12,3281
13,3282
14,3283
15,3284
16,3285
17,3286
18,3287
19,3288
20,3289
21,3290
22,3291
23,3292
24,3293
25,3294
26,3295
27,3296
28,3297
29,3298
30,3299
31,3300
32,3301
33,3302
34,3303
35,3304
18,3287
36,3305
37,3306
38,3285
39,3307
5,3275
40,3285
41,3308
42,3309
43,3310
44,3311
45,3312
46,3313
47,3314
48,3315
49,3316
50,3317
51,3318
6,3319
52,3320
53,3321
54,3322
55,3323
56,3318
57,3288
58,3324
59,3325
60,3326
61,3327
62,3328
63,3329
64,3330
65,3331
66,3332
67,3333
60,3326
68,3334
69,3335
70,3336
71,3337
72,3338
73,3339
74,3340
75,3324
76,3341
77,3342
78,3343
79,3344
80,3345
81,3346
82,3347
83,3348
84,3349
85,3350
86,3351
85,3350
87,3352
88,3353
89,3354
90,3355
91,3356
92,3357
93,3358
94,3318
95,3296
96,3359
97,3356
65,3360
98,3361
99,3362
100,3363
101,3364
102,3335
103,3365
104,3354
105,3366
106,3367
96,3359
107,3272
108,3291
89,3356
109,3309
110,3327
85,3368
111,3369
112,3356
28,3370
113,3356
114,3321
115,3371
116,3372
117,3373
118,3359
102,3335
119,3318
120,3374
121,3375
122,3278
123,3349
124,3376
125,3359
126,3377
127,3378
128,3287
129,3379
42,3309
130,3302
131,3380
132,3381
133,3382
78,3383
134,3384
135,3385
80,3312
136,3386
137,3387
138,3388
139,3389
140,3390
141,3391
142,3392
143,3393
144,3394
47,3302
145,3395
146,3396
147,3397
94,3390
91,3398
148,3399
149,3400
150,3401
151,3315
152,3272
153,3402
154,3403
155,3381
47,3404
148,3399
156,3333
157,3405
158,3288
72,3406
122,3312
140,3407
159,3408
97,3409
160,3410
161,3411
162,3412
97,3409
107,3272
163,3376
164,3413
165,3414
166,3361
167,3415
168,3363
169,3416
100,3376
170,3412
47,3314
171,3318
89,3356
172,3383
173,3417
174,3403
132,3276
175,3418
176,3419
177,3420
19,3332
178,3421
179,3422
180,3423
181,3424
182,3425
183,3426
35,3427
2,3272
184,3428
185,3301
186,3429
187,3374
188,3430
189,3431
190,3432
191,3433
192,3434
193,3435
194,3401
195,3367
123,3436
196,3321
197,3437
198,3438
199,3301
200,3413
201,3439
148,3399
202,3440
203,3411
204,3441
205,3442
110,3321
206,3443
207,3444
187,3445
208,3446
209,3447
210,3448
211,3423
212,3449
213,3450
214,3451
215,3452
216,3453
217,3454
218,3455
219,3456
220,3457
221,3458
222,3459
223,3349
224,3460
225,3461
226,3462
227,3463
228,3315
229,3464
42,3309
230,3465
219,3456
231,3466
232,3467
174,3403
233,3468
234,3469
235,3419
236,3301
237,3470
238,3471
239,3304
240,3472
226,3462
241,3374
242,3473
243,3474
244,3475
245,3367
238,3471
246,3365
247,3367
103,3272
248,3374
249,3326
250,3476
251,3477
149,3400
252,3478
114,3321
253,3414
254,3286
154,3403
33,3302
255,3479
256,3480
257,3316
258,3481
259,3482
260,3483
261,3413
262,3363
263,3484
213,3485
264,3486
265,3408
266,3487
267,3470
268,3469
269,3488
270,3288
271,3489
188,3490
272,3408
273,3428
233,3468
274,3491
275,3374
101,3364
276,3492
277,3445
278,3493
279,3494
113,3495
280,3496
281,3497
282,3498
283,3499
284,3500
285,3501
286,3502
287,3503
288,3278
289,3504
290,3278
291,3505
292,3506
293,3488
294,3356
156,3365
295,3507
296,3508
297,3509
298,3510
299,3493
300,3511
301,3440
34,3303
302,3512
303,3284
304,3513
305,3343
69,3335
306,3343
307,3505
308,3514
309,3515
310,3516
311,3450
97,3356
312,3517
313,3518
314,3519
107,3520
132,3381
315,3521
316,3522
23,3302
317,3412
318,3523
319,3367
47,3314
320,3524
321,3425
322,3525
323,3526
324,3423
325,3421
326,3527
327,3528
328,3529
329,3530
330,3278
331,3319
96,3359
332,3531
103,3272
333,3425
334,3532
335,3533
336,3365
337,3534
338,3488
339,3346
156,3333
340,3535
341,3536
342,3537
343,3538
344,3440
211,3539
345,3540
346,3371
347,3480
348,3541
119,3318
349,3542
62,3405
350,3543
351,3541
352,3544
353,3545
354,3546
355,3545
356,3547
357,3461
358,3420
359,3548
360,3549
361,3379
362,3459
363,3550
364,3551
365,3440
366,3327
367,3552
332,3531
368,3553
101,3364
57,3554
369,3467
345,3540
370,3555
371,3556
106,3557
368,3553
372,3558
373,3559
255,3560
374,3561
32,3562
110,3321
78,3563
375,3564
376,3361
377,3442
378,3565
379,3566
380,3377
381,3567
382,3568
383,3438
384,3428
385,3351
386,3555
387,3336
388,3525
389,3551
390,3438
391,3569
392,3546
393,3570
394,3571
395,3572
396,3573
397,3372
398,3378
399,3574
70,3336
400,3575
401,3419
402,3343
112,3315
403,3576
404,3577
373,3559
405,3578
406,3579
407,3580
408,3581
409,3582
410,3583
411,3519
412,3584
413,3585
298,3586
414,3587
179,3519
415,3280
416,3585
417,3419
41,3308
344,3588
418,3589
96,3359
419,3590
420,3591
421,3329
422,3451
423,3592
183,3401
424,3593
425,3430
426,3594
249,3595
427,3359
428,3596
429,3597
63,3329
430,3303
431,3598
63,3329
288,3599
432,3547
433,3452
434,3600
84,3329
96,3601
435,3598
423,3592
425,3430
414,3587
260,3483
436,3602
437,3557
438,3572
439,3547
440,3603
441,3316
442,3364
443,3604
444,3467
35,3605
445,3606
96,3601
446,3571
447,3368
448,3607
49,3316
449,3350
350,3543
450,3608
451,3609
426,3610
452,3545
453,3611
59,3612
454,3613
455,3605
456,3590
457,3614
85,3511
458,3329
459,3615
460,3616
195,3492
461,3617
427,3359
462,3430
463,3339
427,3511
464,3618
465,3340
417,3330
466,3619
383,3323
467,3605
8,3620
468,3467
465,3340
465,3340
94,3335
427,3359
320,3524
427,3359
162,3412
231,3466
469,3621
470,3459
471,3488
472,3622
473,3329
376,3379
338,3351
474,3412
475,3623
476,3571
477,3439
478,3517
285,3501
279,3402
67,3604
479,3624
480,3625
481,3626
482,3627
466,3619
158,3628
256,3480
483,3629
484,3630
485,3365
486,3561
487,3291
488,3631
489,3290
348,3541
490,3449
491,3632
492,3459
125,3340
493,3474
375,3633
305,3343
494,3459
177,3420
473,3329
460,3634
495,3635
496,3452
478,3517
497,3557
498,3614
499,3614
500,3372
501,3614
347,3527
502,3376
503,3371
504,3413
387,3334
336,3636
505,3403
285,3528
324,3423
212,3284
35,3540
506,3637
507,3311
508,3638
509,3420
510,3374
511,3507
163,3376
512,3392
392,3639
412,3584
513,3640
514,3641
515,3480
516,3588
517,3642
446,3325
412,3584
52,3643
515,3480
122,3644
454,3645
518,3646
519,3412
520,3647
521,3648
522,3530
523,3649
290,3278
524,3309
525,3645
526,3650
527,3651
528,3652
529,3653
176,3419
530,3654
531,3605
369,3467
491,3604
92,3357
532,3559
533,3655
534,3585
449,3653
535,3656
536,3657
50,3317
537,3658
538,3659
539,3654
540,3349
541,3660
542,3625
27,3661
543,3506
544,3512
545,3303
369,3467
546,3662
547,3505
179,3568
548,3663
549,3664
550,3572
551,3622
552,3665
553,3367
405,3666
551,3622
554,3667
555,3369
556,3391
557,3668
558,3669
559,3670
557,3668
101,3671
560,3672
375,3564
410,3583
