source,target
0,3669
1,3670
2,3671
3,3672
4,3673
5,3674
6,3675
7,3676
8,3677
9,3678
10,3679
11,3680
12,3681
13,3682
14,3683
15,3684
16,3685
17,3686
18,3687
19,3688
20,3689
21,3690
22,3684
23,3691
24,3692
25,3693
26,3694
27,3695
28,3696
29,3697
30,3698
31,3699
32,3700
33,3693
34,3701
35,3702
36,3703
37,3704
38,3705
39,3699
40,3706
41,3707
42,3708
43,3709
44,3710
8,3711
45,3712
46,3713
47,3714
48,3715
49,3716
50,3717
51,3718
52,3719
53,3720
54,3721
55,3722
56,3723
57,3672
58,3724
27,3695
59,3725
60,3726
61,3727
62,3728
63,3729
64,3721
65,3730
66,3731
67,3732
68,3733
69,3734
70,3735
71,3736
72,3737
73,3708
74,3738
75,3739
76,3692
77,3740
78,3741
73,3708
79,3742
80,3743
81,3706
11,3680
82,3744
83,3745
84,3746
85,3747
86,3748
87,3749
88,3679
89,3750
90,3751
91,3752
92,3753
93,3754
94,3716
95,3739
0,3669
96,3755
6,3756
97,3757
98,3758
99,3759
100,3703
101,3760
102,3761
103,3762
104,3676
105,3763
106,3764
107,3765
108,3731
109,3679
110,3729
111,3766
112,3767
113,3768
114,3769
115,3736
30,3770
52,3719
116,3771
117,3711
118,3772
119,3752
120,3773
121,3774
122,3775
123,3680
124,3776
125,3777
126,3778
8,3779
127,3780
128,3781
129,3782
130,3783
131,3748
132,3784
133,3785
134,3786
135,3696
136,3787
137,3708
138,3788
139,3680
30,3770
140,3789
141,3688
142,3790
143,3690
69,3791
144,3792
145,3765
146,3793
147,3794
148,3681
149,3795
150,3796
151,3797
152,3798
153,3744
154,3776
155,3799
156,3680
18,3687
157,3800
14,3801
158,3802
159,3803
160,3804
102,3761
40,3710
161,3779
162,3782
135,3805
6,3675
163,3806
164,3688
165,3807
166,3808
63,3729
167,3809
168,3682
101,3760
27,3810
169,3811
45,3669
9,3699
170,3756
157,3800
30,3698
171,3776
172,3727
173,3812
174,3813
69,3762
175,3814
176,3815
177,3816
178,3695
179,3817
180,3816
181,3818
182,3819
183,3669
184,3761
185,3691
186,3717
89,3820
187,3716
188,3685
189,3821
190,3822
191,3672
192,3823
193,3824
194,3825
195,3826
196,3827
197,3828
198,3829
199,3830
200,3757
201,3678
202,3831
47,3832
79,3742
203,3833
204,3834
205,3835
206,3836
207,3837
208,3760
209,3838
210,3839
211,3840
212,3670
213,3795
130,3705
214,3841
215,3792
216,3797
217,3842
218,3794
219,3755
220,3751
210,3843
221,3844
222,3773
223,3789
224,3803
124,3743
225,3845
226,3846
82,3834
227,3847
228,3848
229,3680
230,3849
231,3754
232,3850
233,3851
27,3695
234,3852
76,3729
235,3853
236,3854
237,3738
238,3733
62,3855
239,3856
61,3727
240,3857
241,3858
242,3859
243,3847
244,3687
7,3860
245,3861
246,3738
247,3862
248,3863
249,3771
250,3758
251,3864
252,3669
253,3742
254,3799
255,3823
256,3865
257,3866
165,3867
143,3736
28,3696
224,3868
258,3716
259,3752
242,3842
260,3685
261,3869
68,3870
262,3871
263,3872
264,3726
265,3782
266,3873
267,3679
268,3715
269,3688
270,3679
144,3792
271,3870
272,3733
273,3874
8,3779
274,3707
275,3875
276,3876
277,3877
270,3675
278,3868
279,3707
280,3686
281,3878
282,3879
283,3842
284,3764
194,3825
17,3707
285,3880
286,3881
287,3882
288,3883
289,3884
290,3686
291,3885
268,3886
246,3738
292,3820
293,3887
294,3888
50,3717
295,3889
296,3864
297,3890
298,3891
262,3892
299,3893
257,3866
110,3729
30,3770
300,3894
301,3895
302,3896
303,3897
304,3898
93,3899
305,3900
206,3901
306,3902
241,3858
307,3892
69,3903
308,3680
145,3765
309,3758
310,3899
77,3904
311,3905
312,3689
313,3801
314,3704
315,3906
316,3678
149,3795
317,3907
318,3677
319,3807
85,3683
148,3681
320,3908
321,3909
322,3910
323,3841
324,3911
130,3783
325,3701
326,3865
327,3912
328,3913
329,3914
330,3783
331,3711
143,3736
257,3866
332,3841
140,3815
333,3852
334,3795
335,3915
336,3916
337,3917
338,3918
143,3739
339,3758
340,3732
341,3919
148,3836
236,3854
342,3751
135,3739
343,3717
344,3823
81,3706
241,3692
106,3699
345,3721
346,3920
347,3921
348,3922
349,3816
220,3923
350,3924
278,3868
351,3925
352,3926
353,3927
354,3870
355,3928
356,3729
357,3929
34,3930
358,3931
359,3932
38,3705
360,3933
50,3823
361,3934
362,3935
28,3696
363,3715
175,3936
364,3692
365,3672
64,3937
124,3938
366,3814
62,3939
367,3940
244,3744
271,3852
368,3941
45,3942
369,3943
94,3790
370,3919
171,3776
238,3733
157,3944
61,3727
371,3815
372,3822
51,3718
58,3779
373,3945
374,3946
375,3849
376,3947
377,3678
378,3727
376,3890
301,3895
286,3948
379,3949
380,3759
162,3943
381,3950
382,3951
383,3952
93,3953
384,3782
385,3954
140,3955
386,3956
387,3957
388,3863
389,3948
390,3874
391,3789
392,3874
161,3958
393,3757
394,3937
395,3959
396,3840
274,3707
397,3743
398,3863
399,3960
396,3840
400,3961
401,3962
402,3748
403,3963
404,3752
405,3964
130,3783
406,3685
407,3965
93,3731
14,3801
408,3966
409,3950
389,3869
410,3967
297,3890
19,3759
411,3955
412,3968
413,3801
50,3969
414,3970
415,3906
416,3971
143,3690
417,3745
418,3703
379,3869
419,3972
420,3973
226,3869
132,3784
421,3901
422,3974
423,3824
