,proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld,S_general,Predicted_S,Predicted_S_bipartite,Corrected_Predicted_S
0,delaunay,5.952,7.4247,8,500,2,0.332,0.3578,0.837,0.8100752611648869,1.096722617620335,0.7754999999999999,1.096722617620335
1,delaunay,5.948,7.5362,8,500,2,0.337,0.3578,0.8246,0.8219641823061635,1.096722617620335,0.7754999999999999,1.096722617620335
2,delaunay,5.962,10.1645,10,1000,2,0.3214,0.3162,0.6796,0.7848415847867009,1.096722617620335,0.7754999999999999,1.096722617620335
3,delaunay,5.976,9.7017,10,1000,2,0.3068,0.3162,0.712,0.749985963702415,1.096722617620335,0.7754999999999999,1.096722617620335
4,delaunay,5.988,12.3561,12,2000,2,0.2763,0.2683,0.6152,0.6760943590851354,1.096722617620335,0.7754999999999999,1.096722617620335
5,delaunay,5.985,12.9438,13,2000,2,0.2894,0.2907,0.5872,0.7080743680092508,1.096722617620335,0.7754999999999999,1.096722617620335
6,delaunay,5.99,14.7507,15,3000,2,0.2693,0.2739,0.5428,0.6591214029385633,1.096722617620335,0.7754999999999999,1.096722617620335
7,delaunay,14.472,3.7695,4,500,3,0.4749,0.504,1.6487,1.157363897093098,1.4000714267493641,1.111237427826279,1.4000714267493641
8,delaunay,14.648,3.7796,4,500,3,0.4762,0.504,1.6443,1.1651502945679737,1.4000714267493641,1.111237427826279,1.4000714267493641
9,delaunay,14.786,4.5349,5,1000,3,0.4535,0.5,1.5232,1.1130583928857953,1.4000714267493641,1.111237427826279,1.4000714267493641
10,delaunay,14.9,4.4519,5,1000,3,0.4452,0.5,1.5516,1.095487660301797,1.4000714267493641,1.111237427826279,1.4000714267493641
11,delaunay,15.13,5.3448,5,2000,3,0.4242,0.3969,1.4221,1.0492229211133768,1.4000714267493641,1.111237427826279,1.4000714267493641
12,delaunay,15.1567,5.8647,6,3000,3,0.4066,0.416,1.3652,1.0063296482496447,1.4000714267493641,1.111237427826279,1.4000714267493641
13,delaunay_corrected,5.468,10.4816,10,500,2,0.4688,0.4472,0.5929,1.09611679673845,1.096722617620335,0.7754999999999999,1.096722617620335
14,delaunay_corrected,5.86,13.3679,13,1000,2,0.4227,0.4111,0.5167,1.0233212581602125,1.096722617620335,0.7754999999999999,1.096722617620335
15,delaunay_corrected,5.926,17.4515,17,2000,2,0.3902,0.3801,0.4355,0.9499452759063283,1.096722617620335,0.7754999999999999,1.096722617620335
16,delaunay_corrected,5.954,20.6578,21,3000,2,0.3772,0.3834,0.3876,0.9202966820182428,1.096722617620335,0.7754999999999999,1.096722617620335
17,delaunay_corrected,9.528,5.4212,5,500,3,0.683,0.63,1.1464,1.4480137228669256,1.4000714267493641,1.111237427826279,1.4000714267493641
18,delaunay_corrected,12.822,5.5891,6,1000,3,0.5589,0.6,1.2359,1.308158811620716,1.4000714267493641,1.111237427826279,1.4000714267493641
