proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld
delaunay,5.952,7.4247,8,500,2,0.332,0.3578,0.837
delaunay,5.948,7.5362,8,500,2,0.337,0.3578,0.8246
delaunay,5.962,10.1645,10,1000,2,0.3214,0.3162,0.6796
delaunay,5.976,9.7017,10,1000,2,0.3068,0.3162,0.712
delaunay,5.988,12.3561,12,2000,2,0.2763,0.2683,0.6152
delaunay,5.985,12.9438,13,2000,2,0.2894,0.2907,0.5872
delaunay,5.99,14.7507,15,3000,2,0.2693,0.2739,0.5428
delaunay,14.472,3.7695,4,500,3,0.4749,0.504,1.6487
delaunay,14.648,3.7796,4,500,3,0.4762,0.504,1.6443
delaunay,14.786,4.5349,5,1000,3,0.4535,0.5,1.5232
delaunay,14.9,4.4519,5,1000,3,0.4452,0.5,1.5516
delaunay,15.13,5.3448,5,2000,3,0.4242,0.3969,1.4221
delaunay,15.1567,5.8647,6,3000,3,0.4066,0.416,1.3652
delaunay_corrected,5.468,10.4816,10,500,2,0.4688,0.4472,0.5929
delaunay_corrected,5.86,13.3679,13,1000,2,0.4227,0.4111,0.5167
delaunay_corrected,5.926,17.4515,17,2000,2,0.3902,0.3801,0.4355
delaunay_corrected,5.954,20.6578,21,3000,2,0.3772,0.3834,0.3876
delaunay_corrected,9.528,5.4212,5,500,3,0.683,0.63,1.1464
delaunay_corrected,12.822,5.5891,6,1000,3,0.5589,0.6,1.2359
delaunay_corrected,14.269,6.5091,7,2000,3,0.5166,0.5556,1.1677
delaunay_corrected,14.5693,7.2764,7,3000,3,0.5045,0.4854,1.1003
epsilon-ball,3.619,10.4782,10,105,2,1.0226,0.9759,0.4442
epsilon-ball,3.9383,11.7599,12,162,2,0.9239,0.9428,0.4326
epsilon-ball,4.1531,15.0009,14,209,2,1.0376,0.9684,0.3561
epsilon-ball,4.1094,19.1917,18,256,2,1.1995,1.125,0.2889
epsilon-ball,12.912,7.3416,7,500,2,0.3283,0.313,0.8465
epsilon-ball,17.196,6.1288,6,500,2,0.2741,0.2683,1.014
epsilon-ball,21.276,5.5141,5,500,2,0.2466,0.2236,1.127
epsilon-ball,24.46,5.0349,5,500,2,0.2252,0.2236,1.2343
epsilon-ball,28.056,4.7029,5,500,2,0.2103,0.2236,1.3214
epsilon-ball,12.292,7.7571,8,500,2,0.3469,0.3578,0.8012
epsilon-ball,16.488,6.2826,6,500,2,0.281,0.2683,0.9892
epsilon-ball,19.44,5.6765,6,500,2,0.2539,0.2683,1.0948
epsilon-ball,23.836,5.0856,5,500,2,0.2274,0.2236,1.222
epsilon-ball,27.828,4.644,5,500,2,0.2077,0.2236,1.3382
epsilon-ball,12.552,10.5796,10,1000,2,0.3346,0.3162,0.6529
epsilon-ball,16.826,8.782,9,1000,2,0.2777,0.2846,0.7866
epsilon-ball,20.536,7.8574,8,1000,2,0.2485,0.253,0.8791
epsilon-ball,25.07,6.9225,7,1000,2,0.2189,0.2214,0.9979
epsilon-ball,28.478,6.3048,6,1000,2,0.1994,0.1897,1.0956
epsilon-ball,12.818,10.3408,10,1000,2,0.327,0.3162,0.668
epsilon-ball,16.886,8.5338,8,1000,2,0.2699,0.253,0.8095
epsilon-ball,21.102,7.6509,8,1000,2,0.2419,0.253,0.9029
epsilon-ball,25.114,6.8123,7,1000,2,0.2154,0.2214,1.014
epsilon-ball,28.732,6.426,6,1000,2,0.2032,0.1897,1.075
epsilon-ball,12.874,14.7187,15,2000,2,0.3291,0.3354,0.5164
epsilon-ball,17.034,12.1651,12,2000,2,0.272,0.2683,0.6248
epsilon-ball,21.57,10.6048,10,2000,2,0.2371,0.2236,0.7167
epsilon-ball,25.245,9.7344,10,2000,2,0.2177,0.2236,0.7808
epsilon-ball,29.356,8.7137,9,2000,2,0.1948,0.2012,0.8723
epsilon-ball,13.026,14.5792,14,2000,2,0.326,0.313,0.5214
epsilon-ball,17.086,12.0285,12,2000,2,0.269,0.2683,0.6319
epsilon-ball,21.159,10.6094,10,2000,2,0.2372,0.2236,0.7164
epsilon-ball,25.704,9.6789,10,2000,2,0.2164,0.2236,0.7853
epsilon-ball,29.7,8.728,9,2000,2,0.1952,0.2012,0.8709
epsilon-ball,13.1147,17.581,17,3000,2,0.321,0.3104,0.4554
epsilon-ball,17.3507,14.6361,14,3000,2,0.2672,0.2556,0.547
epsilon-ball,21.3373,12.8926,13,3000,2,0.2354,0.2373,0.621
epsilon-ball,25.4313,11.6916,12,3000,2,0.2135,0.2191,0.6848
epsilon-ball,30.0533,10.6482,10,3000,2,0.1944,0.1826,0.7519
epsilon-ball,14.12,4.6095,5,500,3,0.5808,0.63,1.3482
epsilon-ball,17.884,4.171,4,500,3,0.5255,0.504,1.4899
epsilon-ball,22.752,3.7099,4,500,3,0.4674,0.504,1.6751
epsilon-ball,25.808,3.5123,4,500,3,0.4425,0.504,1.7694
epsilon-ball,28.968,3.3574,3,500,3,0.423,0.378,1.851
epsilon-ball,13.408,4.8418,5,500,3,0.61,0.63,1.2835
epsilon-ball,18.088,4.0971,4,500,3,0.5162,0.504,1.5168
epsilon-ball,22.756,3.7498,4,500,3,0.4724,0.504,1.6573
epsilon-ball,26.448,3.5095,4,500,3,0.4422,0.504,1.7708
epsilon-ball,29.812,3.3246,3,500,3,0.4189,0.378,1.8693
epsilon-ball,14.872,5.7098,6,1000,3,0.571,0.6,1.2098
epsilon-ball,19.344,5.138,5,1000,3,0.5138,0.5,1.3444
epsilon-ball,24.168,4.5927,5,1000,3,0.4593,0.5,1.5041
epsilon-ball,27.93,4.3123,4,1000,3,0.4312,0.4,1.6019
epsilon-ball,31.984,4.074,4,1000,3,0.4074,0.4,1.6956
epsilon-ball,14.516,5.7412,6,1000,3,0.5741,0.6,1.2032
epsilon-ball,19.06,5.1213,5,1000,3,0.5121,0.5,1.3488
epsilon-ball,23.628,4.7034,5,1000,3,0.4703,0.5,1.4687
epsilon-ball,28.676,4.3312,4,1000,3,0.4331,0.4,1.5949
epsilon-ball,32.06,4.0679,4,1000,3,0.4068,0.4,1.6981
epsilon-ball,15.258,7.1638,7,1998,3,0.5688,0.5558,1.0609
